"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4496","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""Qazxswedcvfrtgbnhyujmikolpqazxswedcvfrtgbnhyujmikolp"", ""Plokimjuyhnbgtrfvcdewsxzaqplokimjuyhnbgtrfvcdewsxzaq""","","Wed Mar 18 12:36:28 UTC 2026","passed","Wed Mar 18 12:36:33 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","12136","Тест c Лямбда-нотацией","","Wed Mar 18 12:37:01 UTC 2026","passed","Wed Mar 18 12:37:13 UTC 2026","","com.github.tests.LambdaNotationTest","com.github.tests.LambdaNotationTest","testWithPureSelenide"
"","7","zipFileTest()","","Wed Mar 18 12:37:37 UTC 2026","passed","Wed Mar 18 12:37:37 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","zipFileTest"
"","3995","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""Matti"", ""Meikäläinen""","","Wed Mar 18 12:36:49 UTC 2026","passed","Wed Mar 18 12:36:53 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","10224","Проверка максимального набора данных Проверка регистрации с полом: ""Female""","","Wed Mar 18 12:35:57 UTC 2026","passed","Wed Mar 18 12:36:07 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","3857","positiveFillAllFieldsTest()","","Wed Mar 18 12:36:53 UTC 2026","passed","Wed Mar 18 12:36:57 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","positiveFillAllFieldsTest"
"","4103","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""1"", ""2""","","Wed Mar 18 12:36:24 UTC 2026","passed","Wed Mar 18 12:36:28 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","3355","Негативная проверка - не заполненные поля","","Wed Mar 18 12:36:17 UTC 2026","passed","Wed Mar 18 12:36:20 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeEmptyFieldsTest"
"","3985","negativeWrongEmail()","","Wed Mar 18 12:36:57 UTC 2026","passed","Wed Mar 18 12:37:01 UTC 2026","","com.demoqa.tests.TextBoxTest","com.demoqa.tests.TextBoxTest","negativeWrongEmail"
"","658","checkPdfTest()","","Wed Mar 18 12:37:36 UTC 2026","passed","Wed Mar 18 12:37:37 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkPdfTest"
"","3891","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""山田"", ""太郎""","","Wed Mar 18 12:36:45 UTC 2026","passed","Wed Mar 18 12:36:49 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","4178","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""José"", ""García""","","Wed Mar 18 12:36:37 UTC 2026","passed","Wed Mar 18 12:36:42 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","10417","Тест в шагами в отдельном классе","","Wed Mar 18 12:37:23 UTC 2026","passed","Wed Mar 18 12:37:34 UTC 2026","","com.github.tests.StepsWithAnnotationTest","com.github.tests.StepsWithAnnotationTest","testAnnotatedStep"
"","1102","checkExcelTest()","","Wed Mar 18 12:37:35 UTC 2026","passed","Wed Mar 18 12:37:36 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkExcelTest"
"","6148","Проверка максимального набора данных Проверка регистрации с полом: ""Other""","","Wed Mar 18 12:36:07 UTC 2026","passed","Wed Mar 18 12:36:14 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","1118","testParsingJson()","","Wed Mar 18 12:37:34 UTC 2026","passed","Wed Mar 18 12:37:35 UTC 2026","","files.tests.JsonFileTest","files.tests.JsonFileTest","testParsingJson"
"","9943","Проверка максимального набора данных Проверка регистрации с полом: ""Male""","","Wed Mar 18 12:35:47 UTC 2026","passed","Wed Mar 18 12:35:57 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveFullDataAllGenderTest"
"","3360","Негативная проверка - не верный формат Email","","Wed Mar 18 12:36:14 UTC 2026","passed","Wed Mar 18 12:36:17 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","negativeWrongEmailFormatTest"
"","3801","positiveMinimumDataDifferentNamesLengthTest(String, String) Проверка регистрации с разными данными: ""A"", ""B""","","Wed Mar 18 12:36:20 UTC 2026","passed","Wed Mar 18 12:36:24 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataDifferentNamesLengthTest"
"","9877","Тест на голом Селениде","","Wed Mar 18 12:37:13 UTC 2026","passed","Wed Mar 18 12:37:23 UTC 2026","","com.github.tests.PureSelenideTest","com.github.tests.PureSelenideTest","testWithPureSelenide"
"","21","checkCsvTest()","","Wed Mar 18 12:37:37 UTC 2026","passed","Wed Mar 18 12:37:37 UTC 2026","","files.tests.ZipFileTest","files.tests.ZipFileTest","checkCsvTest"
"","3927","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""王"", ""小明""","","Wed Mar 18 12:36:42 UTC 2026","passed","Wed Mar 18 12:36:45 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
"","4545","positiveMinimumDataAllLanguageTest(String, String) Проверка регистрации с разными языками: ""John"", ""Doe""","","Wed Mar 18 12:36:33 UTC 2026","passed","Wed Mar 18 12:36:37 UTC 2026","","Проверка большой формы регистрации","com.demoqa.tests.BigFormTest","positiveMinimumDataAllLanguageTest"
